Load_data,,,,,,,,,,,,,,,,
Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,,
,,,,,,,,241,9544,14872,9455,15898,19620,9751,,
,,,,,,,,242,9180,14309,9367,15813,19351,9894,,
,,,,,,,,243,9022,14067,9386,16079,19431,9981,,
,,,,,,,,244,9101,14192,9598,16661,19890,10091,,
,,,,,,,,245,9430,14707,10038,17913,20899,10639,,
,,,,,,,,246,10301,16066,11038,19474,23160,11446,,
,,,,,,,,247,11841,18482,12111,20207,26328,11960,,
,,,,,,,,248,12622,19691,12451,19745,27888,12031,,
,,,,,,,,249,12678,19767,12225,19231,27400,11987,,
,,,,,,,,250,12625,19668,12041,18693,26522,12169,,
,,,,,,,,251,12649,19707,11857,18328,25829,12244,,
,,,,,,,,252,12634,19680,11715,18077,25157,12267,,
,,,,,,,,253,12630,19673,11604,17823,24641,12346,,
,,,,,,,,254,12585,19604,11493,17687,23997,12614,,
,,,,,,,,255,12569,19580,11492,17755,23923,13174,,
,,,,,,,,256,12334,19215,11592,17821,24778,13903,,
,,,,,,,,257,12119,18883,12457,19292,26870,14999,,
,,,,,,,,258,13161,20514,13310,20369,29450,14091,,
,,,,,,,,259,12907,20118,12718,19337,28571,12958,,
,,,,,,,,260,11582,18048,11954,18121,26778,12292,,
,,,,,,,,261,10891,16974,11294,17190,25830,11564,,
,,,,,,,,262,9398,14636,10459,15952,24063,10453,,
,,,,,,,,263,8861,13799,9983,15520,21978,10331,,
,,,,,,,,264,9617,14986,10017,16143,21138,10412,,
,,,,,,,,265,9578,14925,9847,16095,20606,10312,,
,,,,,,,,266,9232,14389,9794,16037,20373,10473,,
,,,,,,,,267,9053,14116,9825,16212,20467,10553,,
,,,,,,,,268,9113,14210,10029,16851,20906,10648,,
,,,,,,,,269,9384,14634,10508,18069,21910,11096,,
,,,,,,,,270,10161,15847,11510,19628,24097,11912,,
,,,,,,,,271,11621,18137,12585,20356,27267,12332,,
,,,,,,,,272,12313,19210,12819,20075,28737,12266,,
,,,,,,,,273,12411,19351,12607,19800,28158,12042,,
,,,,,,,,274,12364,19262,12308,19265,27109,11985,,
,,,,,,,,275,12515,19496,12068,18861,26452,11913,,
,,,,,,,,276,12597,19622,11842,18674,25641,11923,,
,,,,,,,,277,12714,19804,11678,18530,24934,11904,,
,,,,,,,,278,12825,19974,11516,18401,24345,12121,,
,,,,,,,,279,12802,19940,11536,18595,24225,12499,,
,,,,,,,,280,11756,18302,11639,19032,25028,12709,,
,,,,,,,,281,11121,17315,12370,19872,26855,13944,,
,,,,,,,,282,12504,19484,13206,21293,29026,13279,,
,,,,,,,,283,12203,19015,12665,20666,27965,12349,,
,,,,,,,,284,11067,17240,11941,19606,26135,11771,,
,,,,,,,,285,10236,15946,11267,18385,25132,11189,,
,,,,,,,,286,7903,12291,10468,17338,23329,9934,,
,,,,,,,,287,7182,11166,9922,16998,21667,9917,,
,,,,,,,,288,8583,13365,9959,16907,20793,10001,,
,,,,,,,,289,9560,14894,9804,16815,20063,9877,,
,,,,,,,,290,9210,14351,9733,16849,19848,10012,,
,,,,,,,,291,9016,14052,9754,17022,19953,10119,,
,,,,,,,,292,9070,14138,9933,17615,20461,10322,,
,,,,,,,,293,9313,14516,10388,18916,21488,10831,,
,,,,,,,,294,10122,15781,11345,20507,23726,11694,,
,,,,,,,,295,11681,18225,12368,21308,26884,11967,,
,,,,,,,,296,12525,19538,12749,20713,28623,11932,,
,,,,,,,,297,12606,19652,12534,19893,28181,11678,,
,,,,,,,,298,12550,19548,12163,19077,27096,11703,,
,,,,,,,,299,12681,19753,11915,18561,26458,11729,,
,,,,,,,,300,12692,19768,11657,18209,25557,11716,,
,,,,,,,,301,12690,19765,11450,17872,25001,11678,,
,,,,,,,,302,12708,19792,11282,17648,24450,11715,,
,,,,,,,,303,12366,19258,11244,17147,24435,11669,,
,,,,,,,,304,10857,16895,11295,16763,25130,11979,,
,,,,,,,,305,10533,16395,11862,18064,26598,12834,,
,,,,,,,,306,11988,18677,12602,19341,28424,12738,,
,,,,,,,,307,11695,18222,12003,18435,27134,11593,,
,,,,,,,,308,10604,16517,11262,17384,25183,10995,,
,,,,,,,,309,9901,15424,10649,16476,24186,10472,,
,,,,,,,,310,7669,11928,10049,15485,22631,9582,,
,,,,,,,,311,7075,10999,9631,15318,21473,9458,,
,,,,,,,,312,8494,13222,9641,16272,20397,9802,,
,,,,,,,,313,9671,15037,9577,16662,19834,9564,,
,,,,,,,,314,9135,14200,9395,16457,19189,9705,,
,,,,,,,,315,8939,13894,9375,16588,19092,9666,,
,,,,,,,,316,8874,13793,9419,16814,19141,9621,,
,,,,,,,,317,8979,13957,9580,17389,19496,9765,,
,,,,,,,,318,9358,14549,10020,18068,20412,10057,,
,,,,,,,,319,10024,15597,10495,18590,21794,10196,,
,,,,,,,,320,10320,16048,10869,18578,22928,10482,,
,,,,,,,,321,10918,16977,11195,18442,24154,10742,,
,,,,,,,,322,11440,17787,11420,18210,25055,10937,,
,,,,,,,,323,11785,18330,11437,17938,25586,11111,,
,,,,,,,,324,11876,18470,11355,17711,25516,11151,,
,,,,,,,,325,11936,18568,11255,17566,25454,11086,,
,,,,,,,,326,11806,18364,11101,17341,24947,11099,,
,,,,,,,,327,11426,17770,10962,16845,24568,10926,,
,,,,,,,,328,10945,17019,10850,16215,24605,11041,,
,,,,,,,,329,9692,15058,11258,17165,25466,11196,,
,,,,,,,,330,11188,17399,11749,18142,26077,11723,,
,,,,,,,,331,11585,18010,11882,18643,26498,11620,,
,,,,,,,,332,11640,18102,11621,18067,26051,11154,,
,,,,,,,,333,10637,16526,11094,17633,25299,10401,,
,,,,,,,,334,10050,15608,10435,16503,22750,9724,,
,,,,,,,,335,9636,14962,9891,15974,21469,9518,,
,,,,,,,,336,9755,15165,9641,16008,20783,9431,,
,,,,,,,,337,9597,14934,9276,15509,19954,9207,,
,,,,,,,,338,9090,14145,9043,15191,19362,9308,,
,,,,,,,,339,8897,13845,9019,15190,19284,9289,,
,,,,,,,,340,8824,13734,9044,15265,19396,9281,,
,,,,,,,,341,8829,13742,9156,15610,19690,9363,,
,,,,,,,,342,9082,14136,9559,16230,20556,9566,,
