Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,366,386.0,43057.0,1951.0
,,,,,,,,367,432.0,48196.0,2184.0
,,,,,,,,368,482.0,53750.0,2435.0
,,,,,,,,369,525.0,58537.0,2652.0
,,,,,,,,370,565.0,63078.0,2858.0
,,,,,,,,371,598.0,66746.0,3024.0
,,,,,,,,372,618.0,68929.0,3123.0
,,,,,,,,373,630.0,70271.0,3184.0
,,,,,,,,374,639.0,71245.0,3228.0
,,,,,,,,375,641.0,71559.0,3243.0
,,,,,,,,376,625.0,69788.0,3162.0
,,,,,,,,377,616.0,68753.0,3115.0
,,,,,,,,378,598.0,66780.0,3026.0
,,,,,,,,379,580.0,64719.0,2933.0
,,,,,,,,380,535.0,59713.0,2706.0
,,,,,,,,381,483.0,53882.0,2441.0
,,,,,,,,382,439.0,49023.0,2221.0
,,,,,,,,383,402.0,44912.0,2035.0
,,,,,,,,384,384.0,42857.0,1942.0
,,,,,,,,385,373.0,41636.0,1886.0
,,,,,,,,386,372.0,41476.0,1879.0
,,,,,,,,387,382.0,42642.0,1932.0
,,,,,,,,388,400.0,44625.0,2022.0
,,,,,,,,389,422.0,47098.0,2134.0
,,,,,,,,390,463.0,51654.0,2340.0
,,,,,,,,391,508.0,56708.0,2570.0
,,,,,,,,392,553.0,61713.0,2796.0
,,,,,,,,393,594.0,66224.0,3001.0
,,,,,,,,394,634.0,70711.0,3204.0
,,,,,,,,395,663.0,73975.0,3352.0
,,,,,,,,396,681.0,75977.0,3443.0
,,,,,,,,397,692.0,77208.0,3499.0
,,,,,,,,398,703.0,78431.0,3554.0
,,,,,,,,399,708.0,78941.0,3577.0
,,,,,,,,400,701.0,78254.0,3546.0
,,,,,,,,401,669.0,74614.0,3381.0
,,,,,,,,402,624.0,69661.0,3157.0
,,,,,,,,403,599.0,66874.0,3030.0
,,,,,,,,404,553.0,61763.0,2799.0
,,,,,,,,405,500.0,55816.0,2529.0
,,,,,,,,406,457.0,50959.0,2309.0
,,,,,,,,407,426.0,47592.0,2156.0
,,,,,,,,408,407.0,45439.0,2059.0
,,,,,,,,409,394.0,43980.0,1993.0
,,,,,,,,410,390.0,43591.0,1975.0
,,,,,,,,411,400.0,44636.0,2022.0
,,,,,,,,412,417.0,46540.0,2109.0
,,,,,,,,413,438.0,48873.0,2214.0
,,,,,,,,414,477.0,53220.0,2411.0
,,,,,,,,415,521.0,58182.0,2636.0
,,,,,,,,416,569.0,63513.0,2878.0
,,,,,,,,417,614.0,68470.0,3103.0
,,,,,,,,418,656.0,73241.0,3319.0
,,,,,,,,419,688.0,76782.0,3479.0
,,,,,,,,420,703.0,78461.0,3555.0
,,,,,,,,421,709.0,79073.0,3583.0
,,,,,,,,422,715.0,79813.0,3617.0
,,,,,,,,423,720.0,80282.0,3638.0
,,,,,,,,424,712.0,79460.0,3601.0
