Time_Index,None,pacific_naturalgas,rockies_coal,rockies_naturalgas,rockies_uranium,pacific_uranium,pacific_naturalgas_ccs100,rockies_naturalgas_ccs100
276,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
277,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
278,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
279,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
280,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
281,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
282,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
283,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
284,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
285,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
286,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
287,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
288,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
289,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
290,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
291,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
292,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
293,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
294,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
295,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
296,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
297,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
298,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
299,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
300,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
301,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
302,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
303,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
304,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
305,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
306,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
307,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
308,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
309,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
310,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
311,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
312,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
313,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
314,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
315,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
316,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
317,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
318,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
319,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
320,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
321,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
322,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
323,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
324,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
325,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
326,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
327,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
328,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
329,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
330,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
331,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
332,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
333,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
334,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
335,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
336,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
337,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
338,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
339,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
340,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
341,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
342,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
343,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
344,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
345,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
346,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
347,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
348,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
349,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
350,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
351,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
352,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
353,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
354,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
355,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
356,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
357,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
358,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
359,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
360,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
361,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
362,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
363,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
364,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
365,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
366,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
367,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
368,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
369,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
370,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
371,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
372,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
373,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
374,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
375,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
376,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
377,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
378,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
379,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
380,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
381,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
382,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
383,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
384,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
385,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
386,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
387,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
388,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
389,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
390,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
391,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
392,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
393,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
394,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
