Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,227,13274.0,20677.0,10142.0,17119.0,20095.0,10338.0
,,,,,,,,228,13829.0,21544.0,10239.0,17650.0,20518.0,10512.0
,,,,,,,,229,14193.0,22113.0,10274.0,17938.0,20587.0,10496.0
,,,,,,,,230,14403.0,22441.0,10203.0,17819.0,20521.0,10452.0
,,,,,,,,231,13035.0,20298.0,10027.0,17128.0,20674.0,10738.0
,,,,,,,,232,11977.0,18645.0,10115.0,17060.0,21130.0,10916.0
,,,,,,,,233,12234.0,19060.0,10619.0,17724.0,22187.0,11495.0
,,,,,,,,234,12777.0,19921.0,11022.0,18087.0,23460.0,11385.0
,,,,,,,,235,12664.0,19742.0,10578.0,17144.0,22958.0,10457.0
,,,,,,,,236,11622.0,18112.0,9749.0,15578.0,20956.0,9996.0
,,,,,,,,237,10628.0,16561.0,8962.0,13987.0,19518.0,9334.0
,,,,,,,,238,8259.0,12855.0,8183.0,12823.0,18027.0,8600.0
,,,,,,,,239,7660.0,11918.0,7768.0,12403.0,16465.0,8457.0
,,,,,,,,240,8907.0,13875.0,7466.0,12525.0,15329.0,8026.0
,,,,,,,,241,7590.0,11785.0,7772.0,13973.0,16184.0,8193.0
,,,,,,,,242,8432.0,13109.0,7687.0,13952.0,15608.0,8220.0
,,,,,,,,243,8437.0,13113.0,7600.0,13965.0,15549.0,8228.0
,,,,,,,,244,8390.0,13045.0,7616.0,14047.0,15523.0,8352.0
,,,,,,,,245,8309.0,12918.0,7765.0,14368.0,15754.0,8516.0
,,,,,,,,246,8408.0,13072.0,8074.0,14901.0,16520.0,8718.0
,,,,,,,,247,8702.0,13541.0,8412.0,15141.0,17737.0,8742.0
,,,,,,,,248,8866.0,13784.0,8731.0,15412.0,18798.0,8963.0
,,,,,,,,249,9285.0,14439.0,9095.0,15729.0,20000.0,9452.0
,,,,,,,,250,9831.0,15291.0,9425.0,16028.0,21112.0,9700.0
,,,,,,,,251,10348.0,16100.0,9716.0,16355.0,21825.0,9943.0
,,,,,,,,252,10682.0,16615.0,9886.0,16624.0,22057.0,10213.0
,,,,,,,,253,10969.0,17063.0,10002.0,16729.0,22370.0,10279.0
,,,,,,,,254,10940.0,17015.0,9903.0,16368.0,22059.0,10199.0
,,,,,,,,255,9139.0,14193.0,9595.0,15325.0,21843.0,10015.0
,,,,,,,,256,7629.0,11827.0,9457.0,15200.0,21822.0,10093.0
,,,,,,,,257,7566.0,11730.0,9456.0,15454.0,21941.0,9870.0
,,,,,,,,258,7718.0,11979.0,9760.0,16184.0,22120.0,10405.0
,,,,,,,,259,8828.0,13713.0,10428.0,17124.0,23702.0,10956.0
,,,,,,,,260,9923.0,15413.0,10577.0,17375.0,24392.0,10724.0
,,,,,,,,261,9745.0,15127.0,9909.0,16248.0,23274.0,9913.0
,,,,,,,,262,8130.0,12603.0,9057.0,14382.0,21280.0,9108.0
,,,,,,,,263,7117.0,11022.0,8411.0,14125.0,18900.0,8373.0
,,,,,,,,264,6356.0,9848.0,8074.0,13589.0,17745.0,8082.0
,,,,,,,,265,7608.0,11853.0,7891.0,13395.0,16708.0,8318.0
,,,,,,,,266,8711.0,13586.0,7877.0,13595.0,16751.0,8252.0
,,,,,,,,267,8481.0,13233.0,7921.0,13694.0,16775.0,8324.0
,,,,,,,,268,8444.0,13176.0,8248.0,14220.0,17407.0,8617.0
,,,,,,,,269,8708.0,13589.0,8904.0,15276.0,18753.0,9167.0
,,,,,,,,270,9407.0,14679.0,9935.0,16490.0,21165.0,9994.0
,,,,,,,,271,10821.0,16896.0,10675.0,17118.0,23817.0,10453.0
,,,,,,,,272,11868.0,18523.0,10877.0,17221.0,24829.0,10371.0
,,,,,,,,273,12059.0,18810.0,10861.0,17072.0,24629.0,10426.0
,,,,,,,,274,12088.0,18840.0,10764.0,17086.0,24173.0,10432.0
,,,,,,,,275,12264.0,19111.0,10712.0,17219.0,24095.0,10451.0
,,,,,,,,276,12349.0,19239.0,10745.0,17362.0,24015.0,10648.0
,,,,,,,,277,12392.0,19304.0,10685.0,17508.0,23945.0,10646.0
,,,,,,,,278,12430.0,19361.0,10604.0,17150.0,23668.0,10758.0
,,,,,,,,279,10730.0,16694.0,10483.0,16691.0,23815.0,10757.0
,,,,,,,,280,10139.0,15773.0,10503.0,17203.0,24751.0,10979.0
,,,,,,,,281,10151.0,15800.0,10835.0,17701.0,26127.0,11367.0
,,,,,,,,282,10021.0,15609.0,11088.0,18086.0,27221.0,10793.0
,,,,,,,,283,9594.0,14944.0,10865.0,17678.0,26233.0,10283.0
,,,,,,,,284,10217.0,15912.0,10271.0,16339.0,24261.0,9946.0
,,,,,,,,285,9707.0,15119.0,9786.0,15492.0,22953.0,9496.0
,,,,,,,,286,7622.0,11856.0,8924.0,14247.0,21232.0,8834.0
,,,,,,,,287,7925.0,12338.0,8307.0,13827.0,19309.0,8416.0
,,,,,,,,288,6861.0,10673.0,8026.0,12932.0,18056.0,8057.0
,,,,,,,,289,8467.0,13195.0,7996.0,13553.0,17670.0,8299.0
,,,,,,,,290,9124.0,14229.0,7951.0,13678.0,17679.0,8194.0
,,,,,,,,291,8827.0,13772.0,7995.0,13734.0,17585.0,8289.0
,,,,,,,,292,8857.0,13821.0,8260.0,14253.0,18138.0,8590.0
,,,,,,,,293,9077.0,14165.0,8906.0,15284.0,19426.0,9137.0
,,,,,,,,294,9814.0,15317.0,9907.0,16533.0,21846.0,9907.0
,,,,,,,,295,11206.0,17500.0,10601.0,17062.0,24473.0,10272.0
,,,,,,,,296,12159.0,18978.0,10863.0,17168.0,25459.0,10195.0
,,,,,,,,297,12256.0,19119.0,10831.0,17095.0,25326.0,10165.0
,,,,,,,,298,12319.0,19199.0,10806.0,17074.0,24900.0,10231.0
,,,,,,,,299,12582.0,19606.0,10793.0,17257.0,24713.0,10342.0
,,,,,,,,300,12679.0,19751.0,10801.0,17409.0,24297.0,10458.0
,,,,,,,,301,12703.0,19787.0,10791.0,17533.0,24129.0,10496.0
,,,,,,,,302,12667.0,19731.0,10650.0,17204.0,23579.0,10489.0
,,,,,,,,303,10927.0,16999.0,10522.0,16464.0,23132.0,10543.0
,,,,,,,,304,10395.0,16171.0,10675.0,16949.0,23601.0,10862.0
,,,,,,,,305,10107.0,15726.0,11078.0,18324.0,24165.0,11327.0
,,,,,,,,306,10720.0,16699.0,11410.0,18737.0,25240.0,10785.0
,,,,,,,,307,10207.0,15898.0,11069.0,18458.0,25163.0,10291.0
,,,,,,,,308,10420.0,16228.0,10513.0,17307.0,24031.0,9975.0
,,,,,,,,309,9965.0,15520.0,9813.0,16023.0,23021.0,9387.0
,,,,,,,,310,8567.0,13330.0,9001.0,14793.0,21112.0,8612.0
,,,,,,,,311,8294.0,12911.0,8380.0,13670.0,19168.0,8323.0
,,,,,,,,312,7981.0,12426.0,8134.0,13048.0,18083.0,8216.0
,,,,,,,,313,8611.0,13419.0,8226.0,13627.0,17994.0,8242.0
,,,,,,,,314,9153.0,14275.0,8246.0,13806.0,17992.0,8182.0
,,,,,,,,315,8927.0,13929.0,8282.0,13907.0,18041.0,8258.0
,,,,,,,,316,8937.0,13945.0,8527.0,14331.0,18535.0,8560.0
,,,,,,,,317,9162.0,14297.0,9183.0,15243.0,19891.0,9130.0
,,,,,,,,318,9898.0,15445.0,10148.0,16255.0,22214.0,9917.0
,,,,,,,,319,11283.0,17619.0,10800.0,16802.0,24694.0,10316.0
,,,,,,,,320,12138.0,18944.0,10991.0,16939.0,25465.0,10273.0
,,,,,,,,321,12306.0,19190.0,10947.0,16951.0,25033.0,10282.0
,,,,,,,,322,12338.0,19224.0,10851.0,17028.0,24525.0,10292.0
,,,,,,,,323,12544.0,19540.0,10779.0,17107.0,24457.0,10389.0
,,,,,,,,324,12685.0,19755.0,10809.0,17344.0,24300.0,10547.0
,,,,,,,,325,12798.0,19930.0,10783.0,17527.0,24176.0,10607.0
,,,,,,,,326,12776.0,19895.0,10654.0,17383.0,23807.0,10545.0
,,,,,,,,327,10905.0,16960.0,10412.0,16481.0,23634.0,10460.0
,,,,,,,,328,10457.0,16263.0,10563.0,16809.0,23887.0,10890.0
,,,,,,,,329,10307.0,16036.0,10866.0,17590.0,24822.0,11206.0
,,,,,,,,330,10653.0,16590.0,11078.0,18080.0,25881.0,10665.0
,,,,,,,,331,10240.0,15951.0,10732.0,17983.0,25056.0,10163.0
,,,,,,,,332,10833.0,16875.0,10233.0,16490.0,23510.0,9905.0
,,,,,,,,333,10857.0,16919.0,9532.0,15985.0,22481.0,9228.0
,,,,,,,,334,9529.0,14841.0,8764.0,14549.0,20742.0,8331.0
