ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
86,CA_N_battery_moderate_0,1,-7.524251912170859e-13,0.0,-7.524251912170859e-13,-6.6983458667950325e-16,-1.6939601635674323e-14,-2.156984914997181e-18
87,CA_N_nuclear_nuclear_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0
88,CA_N_naturalgas_ccs100_moderate_0,1,589.5335198554535,0.0,589.5335198554535,0.5248228610838187,769.0123637170664,0.09792131501432484
89,CA_N_landbasedwind_class6_moderate_1,1,0.0,0.0,0.0,0.0,0.0,0.0
90,CA_N_landbasedwind_class6_moderate_2,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
91,CA_N_landbasedwind_class6_moderate_3,1,25.100000000000332,0.0,25.100000000000332,0.022344876702573072,131.51466280000136,0.016746270063584732
92,CA_N_landbasedwind_class6_moderate_4,1,0.0,0.0,0.0,0.0,0.0,0.0
93,CA_N_landbasedwind_class6_moderate_5,1,0.0,0.0,0.0,0.0,0.0,0.0
94,CA_N_landbasedwind_class6_moderate_6,1,0.0,0.0,0.0,0.0,0.0,0.0
95,CA_N_landbasedwind_class6_moderate_7,1,-0.0,0.0,-0.0,-0.0,-2.566047546679116e-12,-3.267447469187221e-16
96,CA_N_landbasedwind_class6_moderate_8,1,17.600000000000424,0.0,17.600000000000424,0.01566812071574862,80.39398400000168,0.010236876549642983
97,CA_N_landbasedwind_class6_moderate_9,1,0.0,0.0,0.0,0.0,0.0,0.0
98,CA_N_landbasedwind_class6_moderate_10,1,0.0,0.0,0.0,0.0,0.0,0.0
99,CA_N_landbasedwind_class6_moderate_11,1,31.999999999996813,0.0,31.999999999996813,0.028487492210448512,154.8857599999885,0.019722202154050232
100,CA_N_landbasedwind_class6_moderate_12,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
101,CA_N_utilitypv_class5_moderate_1,1,0.0,0.0,0.0,0.0,0.0,0.0
102,CA_N_utilitypv_class5_moderate_2,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
103,CA_N_utilitypv_class5_moderate_3,1,0.0,0.0,0.0,0.0,0.0,0.0
