Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11
,,,,,,,,153,12386,1367,1034,2050,234,1267,2257,6671,2090,19645,70139
,,,,,,,,154,13301,1458,1105,2188,250,1352,2409,7114,2227,20904,76106
,,,,,,,,155,14359,1539,1165,2308,264,1425,2543,7546,2367,22051,81851
,,,,,,,,156,13516,1570,1189,2356,269,1455,2596,7733,2429,22426,86104
,,,,,,,,157,13322,1565,1184,2347,268,1450,2585,7685,2412,22536,87897
,,,,,,,,158,12071,1606,1215,2409,276,1487,2656,7956,2506,21884,89924
,,,,,,,,159,12387,1578,1194,2366,271,1460,2609,7813,2461,21706,91655
,,,,,,,,160,13025,1569,1188,2353,269,1452,2595,7811,2464,22164,93556
,,,,,,,,161,13699,1592,1206,2388,273,1473,2636,8025,2540,22485,95578
,,,,,,,,162,14500,1589,1204,2384,273,1471,2633,8086,2563,23093,96489
,,,,,,,,163,13920,1566,1186,2350,268,1450,2594,7986,2529,22931,92731
,,,,,,,,164,13008,1560,1181,2341,267,1444,2583,7935,2506,22342,88704
,,,,,,,,165,14264,1600,1211,2401,275,1482,2648,8129,2565,22676,88487
,,,,,,,,166,15821,1556,1178,2335,267,1441,2575,7836,2466,22023,85314
,,,,,,,,167,15280,1488,1126,2232,255,1378,2458,7388,2320,20595,79668
,,,,,,,,168,14360,1398,1058,2096,240,1294,2308,6859,2150,19212,75111
,,,,,,,,169,12789,1321,1000,1981,226,1224,2180,6408,2003,17781,70492
,,,,,,,,170,11832,1273,963,1909,218,1179,2099,6116,1907,16988,67275
,,,,,,,,171,11346,1241,939,1861,212,1150,2045,5915,1841,16493,65266
,,,,,,,,172,11170,1231,932,1847,211,1142,2030,5852,1818,16378,64666
,,,,,,,,173,11062,1241,939,1862,212,1151,2045,5901,1831,16599,65793
,,,,,,,,174,11476,1310,992,1965,225,1214,2160,6273,1950,17908,70289
,,,,,,,,175,12800,1444,1094,2168,247,1339,2386,7050,2207,20447,78699
,,,,,,,,176,15197,1574,1192,2362,269,1458,2602,7776,2442,22211,84471
,,,,,,,,177,16124,1689,1279,2534,290,1565,2792,8344,2621,23399,88546
,,,,,,,,178,16453,1778,1346,2667,305,1647,2940,8802,2768,24605,92596
,,,,,,,,179,16947,1859,1407,2788,318,1720,3074,9260,2921,25785,96971
,,,,,,,,180,16863,1903,1441,2856,327,1762,3151,9537,3013,26181,100965
,,,,,,,,181,16966,1907,1443,2859,327,1765,3156,9569,3026,26901,104349
,,,,,,,,182,16709,1921,1454,2880,329,1777,3181,9678,3067,27095,107019
,,,,,,,,183,16471,1921,1454,2881,329,1778,3183,9722,3086,27163,108390
,,,,,,,,184,17010,1911,1447,2866,328,1767,3169,9736,3098,27686,110360
,,,,,,,,185,17713,1882,1425,2824,323,1741,3122,9660,3078,27078,112140
,,,,,,,,186,18353,1872,1417,2807,322,1731,3106,9695,3095,27533,111135
,,,,,,,,187,18000,1827,1383,2740,313,1689,3029,9461,3014,26404,105197
